time,x,y,theta
0.184,0.04,0.0,0.0
0.239,0.06,0.0,0.0
0.291,0.08,0.0,0.0
0.344,0.1,0.0,0.0
0.396,0.12,0.0,0.0
0.448,0.14,0.0,0.0
0.501,0.16,0.0,0.0
0.667,0.18,0.0,0.0
0.726,0.2,0.0,0.0
0.884,0.01,0.042,-0.02
0.991,0.03,0.04,-0.019
1.095,0.05,0.039,-0.018
1.2,0.07,0.037,-0.018
1.456,0.14,0.034,-0.045
1.546,0.159,0.032,-0.042
1.643,0.179,0.03,-0.04
1.891,0.333,0.032,-0.03
2.127,0.405,0.039,-0.042
2.33,0.543,0.031,0.016
2.767,0.688,-0.035,-0.03
2.843,0.686,-0.029,-0.012
3.188,0.855,-0.036,-0.016
3.347,0.85,-0.03,0.002
3.437,0.846,-0.024,0.021
3.547,0.842,-0.018,0.039
3.638,0.838,-0.011,0.058
3.744,0.834,-0.005,0.076
3.836,0.83,0.001,0.095
3.944,0.826,0.007,0.113
4.032,0.821,0.014,0.132
4.137,0.817,0.02,0.151
5.293,0.813,0.026,0.169
5.557,0.777,0.254,0.301
5.692,0.773,0.258,0.32
5.751,0.769,0.262,0.339
5.903,0.76,0.279,0.319
6.006,0.756,0.282,0.338
6.1,0.752,0.285,0.358
6.162,0.748,0.289,0.377
6.448,0.74,0.332,0.359
6.658,0.715,0.337,0.504
6.909,0.689,0.34,0.64
7.082,0.656,0.34,0.775
7.154,0.652,0.344,0.795
7.302,0.629,0.337,0.868
7.377,0.625,0.342,0.887
7.687,0.591,0.319,0.96
7.975,0.572,0.326,0.962
8.099,0.57,0.331,0.982
8.158,0.568,0.337,1.001
8.356,0.54,0.347,0.935
8.575,0.532,0.355,0.943
8.822,0.621,0.23,1.051
9.124,0.625,0.263,1.272
9.313,0.618,0.275,1.287
9.379,0.612,0.287,1.302
9.759,0.494,0.299,1.79
9.974,0.472,0.306,1.929
10.171,0.462,0.307,2.062
10.284,0.463,0.314,2.043
10.371,0.465,0.321,2.025
10.469,0.466,0.329,2.006
10.58,0.468,0.336,1.988
10.676,0.469,0.343,1.969
10.781,0.471,0.35,1.951
10.946,0.429,0.505,2.561
11.065,0.431,0.505,2.541
11.169,0.432,0.505,2.521
11.402,0.246,0.448,2.309
11.544,0.252,0.449,2.29
